team_id,rating,wins,losses,last_match_time,name,tag,logo_url
6614108,1048.48,8,5,1546153905,Flash Gaming,Flash,https://steamusercontent-a.akamaihd.net/ugc/955225924148438656/E3DF016BE17DDC799B5342196F4CD567FA73BEE9/
870359,1048.45,5,1,1568130329,EFRATE,EFRATE,https://steamusercontent-a.akamaihd.net/ugc/621849045055101780/AD965A226CDE5C8E02E40F3F0A28A7D7C4202041/
5063723,1048.43,11,12,1511682502,Generation of Miracles,GM,https://steamusercontent-a.akamaihd.net/ugc/898889549122766864/B466E99D75B2E1181182DFD23CE79F5794F67A99/
36765,1048.43,5,2,1386441395,Quatro espada,QE,https://steamusercontent-a.akamaihd.net/ugc/702855500538730103/292F144D34E174E7625479E9C39189C0FB1759CF/
1709168,1048.42,4,1,1410953576,Lost Property Riot Force 6,LPRF6,https://steamusercontent-a.akamaihd.net/ugc/49863355772490979/A09380DC5CFB1496B1104ACC4BDBEF829C55C6E5/
7455202,1048.41,3,0,1570899539,THE KHAN,,https://steamusercontent-a.akamaihd.net/ugc/787492768611015305/B922882F2FCA56D3C9B7DF15694BEC5532BF8B37/
995035,1048.37,6,2,1383622085,VexX Gaming,VexX,https://steamusercontent-a.akamaihd.net/ugc/1046251891150222022/4750FF6315C0B30F727B15CBF1DCC94750EA7CFD/
1983234,1048.33,150,195,1509692488,,,https://steamusercontent-a.akamaihd.net/ugc/548639018334495289/3596D27B7995DE645EB7E545A9C651CD769FC6C2/
24,1048.25,232,306,1499358573,Trust Gaming,Trust,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/24.png
8119503,1048.14,3,0,1602082074,ATARAXIA,A†,https://steamusercontent-a.akamaihd.net/ugc/1633074134861370510/6FAE6C6BE75B7CEB8E26A0931F03132B3CBAFB8A/
6408664,1048.12,21,17,1564483685,Buriram United,BRUTD,https://steamusercontent-a.akamaihd.net/ugc/951850928534696993/7F4F164F5F0F396D59C10112D986FDD98A4B7EEB/
1961734,1048.07,4,1,1419657895,ROAL,ROAL,
